Image,Labels
00000270_img_front.jpg,"The scene is set at night, with a car driving down an empty street. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another on the right side. The street is lined with"
00000190_img_front.jpg,"The image is a first-person perspective of a car driving on a highway. The car is positioned in the center of the scene, and the road appears to be empty. There are no other vehicles or pedestrians visible in the image"
00000340_img_front_2.jpg,"The scene depicts a snow-covered city street with multiple cars driving down the road. There are at least five cars visible in the image, with some closer to the viewer and others further away. A fire hydrant can be seen"
00000220_img_front.jpg,"In the image, a person is riding a motorcycle on a city street. There are multiple traffic lights in the scene, with one on the left side, one in the middle, and another on the right side of the street. Additionally,"
00000060_img_front.jpg,"In the scene, there are two cars driving down a street. One car is in the foreground, while the other car is further down the road. There are also two trucks in the scene, one behind the first car and the other"
00000340_img_front.jpg,"The scene is set at night on a rainy city street. A motorcycle is riding down the wet road, and a car is following closely behind. There are multiple traffic lights in the area, with one on the left side of the street"
00000380_img_front.jpg,"The image is a first-person perspective of a car driving down a rain-soaked city street. The street is lined with tall buildings, and there are multiple traffic lights along the way. A few cars can be seen on the street,"
00000060_img_front_2.jpg,"The scene is a nighttime city street with a car driving under a bridge. The car is positioned on the left side of the image, and the bridge spans the entire width of the scene. There are multiple traffic lights in the area,"
00000070_img_front.jpg,"The image is a first-person perspective of a car driving down a street. The street is lined with trees on both sides, creating a serene atmosphere. There are a few cars on the road, including one in front of the car and"
00000480_img_front.jpg,"In the scene, there is a red fire truck parked on the side of a road. A person is standing nearby, possibly observing the fire truck or waiting to cross the street. Additionally, there is a jeep parked further"
00000360_img_front.jpg,"The scene depicts a foggy city street with multiple vehicles, including cars and a bus. A person is riding a motorcycle in the midst of the traffic. The street is surrounded by tall buildings, creating a dense urban atmosphere. The"
00000410_img_front.jpg,"The scene is set at night, with a car driving down an empty street. There are two motorcycles parked on the side of the road, one closer to the foreground and the other further back. A traffic light is visible on the"
00000500_img_front.jpg,"The image is a first-person perspective of a car driving on a highway. There are multiple vehicles on the road, including cars and trucks. Some cars can be seen in the distance, while others are closer to the viewer. The"
00000430_img_front.jpg,"The scene is a computer-generated image of a city street at night. A woman is standing on the sidewalk, waiting to cross the street. There are multiple cars on the road, including one in front of the woman and another behind her."
00000100_img_front.jpg,"In the image, a red and yellow fire truck is driving down a street. The fire truck is positioned in the middle of the scene, and it appears to be the main focus of the image. The street is lined with trees"
00000160_img_front.jpg,"The image is a first-person perspective of a car driving on a highway at night. The road is empty, and there are no other vehicles or pedestrians visible in the scene. The car's headlights are on, ill"
00000170_img_front.jpg,"The image depicts a tree-lined road on a foggy day. The road is empty, with no cars or pedestrians visible. The trees on both sides of the road create a serene atmosphere. There is a stop sign"
00000260_img_front.jpg,"The scene is set in a city at night, with a car driving down an empty street. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another on the right side. The street is"
00000320_img_front.jpg,"The image depicts a nighttime city street with multiple cars driving down the road. There are at least six cars visible in the scene, with some closer to the viewer and others further away. The street is illuminated by streetlight"
00000020_img_front.png,"The image is a first-person perspective of a car driving down a foggy street. There are several people walking on the sidewalk, with some closer to the car and others further away. A bench can be seen on the sidewalk,"
