Image,Labels
00000270_img_front.jpg,"The scene is a nighttime city street with a car driving down the road. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another on the right side. The car is positioned in the middle of the street, and the traffic lights are visible in the background. The street appears to be empty, with no other vehicles or pedestrians visible."
00000190_img_front.jpg,"The image is a first-person view of a car driving down a highway. The car is on the road, and there is a mountain in the background. The road appears to be empty, and the car is the only visible vehicle. The scene captures the feeling of driving on a highway with a beautiful mountain landscape in the distance."
00000340_img_front_2.jpg,"The scene is a computer-generated image of a city street with a red car driving down the road. There are several other cars on the street, including a black car and a yellow car. A fire hydrant is visible on the sidewalk, and a person can be seen walking on the sidewalk. The street is lined with buildings, creating a realistic urban environment."
00000220_img_front.jpg,"The scene is a computer-generated image of a city street with a person riding a motorcycle. The motorcycle is positioned in the middle of the street, and the person is wearing a tank top. There are multiple traffic lights in the scene, with one on the left side, one on the right side, and another in the middle. Additionally, there are several cars and pedestrians scattered throughout the image, adding to the bustling city atmosphere."
00000060_img_front.jpg,"The scene is a computer-generated image of a street with a car driving down it. There are two other cars on the road, one behind the main car and another further ahead. A truck is also visible on the left side of the street. The street is lined with trees, and there are two traffic lights present, one near the center of the scene and another closer to the right side."
00000340_img_front.jpg,"The scene is a nighttime city street with a wet road. A motorcycle is riding down the street, and a car is following closely behind. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another on the right side. A person can be seen walking on the sidewalk, and a fire hydrant is visible on the left side of the street."
00000380_img_front.jpg,"The scene is a city street with a car driving down the middle of the road. The street is wet, possibly due to rain. There are multiple traffic lights along the street, with one on the left side, one in the middle, and another on the right side. A bus is also visible on the right side of the street. The street is lined with buildings, creating an urban atmosphere."
00000060_img_front_2.jpg,"The scene is a nighttime city street with a bridge overhead. The street is empty, and there are no cars or pedestrians visible. The bridge has a yellow color, and the street is illuminated by streetlights. The first-person perspective of the image gives a sense of being inside a car, driving down the empty street."
00000070_img_front.jpg,"The image is a first-person view of a car driving down a wet road. The road is surrounded by trees, and there are multiple cars visible in the scene. The car in the foreground is driving on a paved road, while other cars are positioned further back. The overall atmosphere suggests a rainy day, with the car's headlights illuminating the way."
00000480_img_front.jpg,"The scene is a computer-generated image of a red fire truck driving down a road. The fire truck is passing by a farm, and there is a person standing on the side of the road. The image also features a jeep parked on the side of the road, and a windmill in the background."
00000360_img_front.jpg,"The scene is a computer-generated image of a highway with a car driving down the road. There are multiple vehicles on the road, including a bus, a truck, and several cars. A person is riding a motorcycle in the middle of the highway, and a bicycle is also present in the scene. The overall atmosphere is foggy, creating a sense of mystery and depth to the image."
00000410_img_front.jpg,"The scene is set in a dark city street at night. A car is driving down the road, and there are two motorcycles parked on the side of the street. A traffic light is visible in the distance, and a truck can be seen further down the road. The overall atmosphere is quiet and peaceful, with the streetlights illuminating the area."
00000500_img_front.jpg,"The scene is a computer-generated image of a highway at dusk. There are multiple cars on the road, including a motorcycle. The cars are driving in various directions, and some are closer to the viewer, while others are farther away. The overall atmosphere of the image is that of a bustling highway at twilight."
00000430_img_front.jpg,"The scene is a computer-generated image of a city street at night. There are multiple traffic lights, with one on the left side, another in the middle, and a third on the right side of the street. A car is driving down the street, and a person is standing on the sidewalk, waiting to cross the street. The street is lined with buildings, and there are a few cars parked or driving along the road."
00000100_img_front.jpg,"The scene is a computer-generated image of a fire truck driving down a street. The fire truck is positioned in the middle of the street, and there are two people visible in the scene, one closer to the left side and the other near the right side. The street appears to be empty, with no other vehicles or pedestrians visible."
00000160_img_front.jpg,"The image is a first-person perspective of a car driving down a dark road. The road is surrounded by trees, creating a serene atmosphere. The car is the main focus of the scene, and the road appears to be empty, with no other vehicles or pedestrians visible. The darkness of the night adds a sense of mystery to the scene."
00000170_img_front.jpg,"The image is a computer-generated scene of a road surrounded by trees. The road is empty, and the trees are visible in the background. The scene appears to be a mix of a real-life road and a video game environment."
00000260_img_front.jpg,"The scene is a nighttime city street with a red traffic light. There are multiple cars on the street, including a red car in the middle of the scene. A truck is also visible on the left side of the street. The street is lined with buildings, and there are a few pedestrians walking around. The overall atmosphere is that of a bustling urban environment."
00000320_img_front.jpg,"The scene is a nighttime city street with a car driving down the road. There are multiple cars on the street, including one in front of the car and others behind it. A truck is also visible on the road. The street is lined with trees, and there is a traffic light hanging above the street. The overall atmosphere is dark and quiet, with the car being the only moving vehicle in the scene."
00000020_img_front.png,"The scene is a computer-generated image of a street with a fence on the side. There are several people walking along the street, with one person closer to the fence and others scattered throughout the scene. The street appears to be foggy, adding to the atmosphere of the image."
