Image,Labels
00000270_img_front.jpg,"A car is driving down a dark street at night. The street is empty, and there are no other vehicles or pedestrians visible in the scene. The car's headlights are on, illuminating the road ahead."
00000190_img_front.jpg,A car is driving on an empty road with mountains in the background.
00000340_img_front_2.jpg,"A red car is driving down a snow-covered street. There are several other cars on the road, and a fire hydrant can be seen on the sidewalk. The street appears to be a mix of residential and commercial buildings."
00000220_img_front.jpg,A person is riding a motorcycle on a city street.
00000060_img_front.jpg,"A car is driving down a street with other cars and trucks. There are two trucks, one on the left side and another on the right side of the street. Additionally, there are two cars, one in the middle of the"
00000340_img_front.jpg,A person riding a motorcycle on a rainy city street at night.
00000380_img_front.jpg,"A car is driving down a rain-soaked city street. The street is lined with tall buildings, and there are multiple traffic lights along the way. The street appears to be deserted, with no other cars or pedestrians visible"
00000060_img_front_2.jpg,"A car is driving under a bridge at night. The street is empty, and there are no other vehicles or pedestrians visible. The car's headlights are on, illuminating the road ahead."
00000070_img_front.jpg,"The image is a first-person perspective of a car driving down a street. The street is lined with trees on both sides, creating a serene atmosphere. There are a few cars on the road, including one in front of the car and"
00000480_img_front.jpg,A red and yellow fire truck is parked on the side of the road. A jeep is parked in front of the fire truck.
00000360_img_front.jpg,"The image is a first-person perspective of a car driving down a foggy road. There are multiple vehicles on the road, including cars and a bus. A person is riding a motorcycle in front of the car, and another person is"
00000410_img_front.jpg,A car is driving down a street at night. There is a motorcycle parked on the left side of the street. A traffic light is visible on the right side of the street.
00000500_img_front.jpg,"The image is a first-person perspective of a car driving on a highway. There are multiple vehicles on the road, including cars and trucks. The sun is setting in the background, casting a warm glow on the scene."
00000430_img_front.jpg,A woman is crossing the street at a crosswalk.
00000100_img_front.jpg,A red and yellow fire truck is driving down the street.
00000160_img_front.jpg,"The image is a first-person perspective of a car driving down an empty road at night. The road is lined with trees on both sides, creating a serene atmosphere. There are no other vehicles or pedestrians visible in the scene"
00000170_img_front.jpg,"A car is driving down a road surrounded by trees. The road is empty, and the car's headlights are on, illuminating the foggy surroundings."
00000260_img_front.jpg,"A car is driving down an empty street at night. The streetlights are on, illuminating the area. There are a few cars parked on the side of the road, and a traffic light can be seen further down the street."
00000320_img_front.jpg,A blue car is driving down a road at night. There are several other cars on the road as well.
00000020_img_front.png,"A person is walking on the sidewalk in front of a fence. Another person is walking on the sidewalk behind the fence. There are two benches on the sidewalk, one closer to the fence and the other further away."
