Image,Labels
00000270_img_front.jpg,"A car is driving down a dark street at night. The street is empty, and there are no other cars or pedestrians visible. The car is approaching a traffic light, which is currently red."
00000190_img_front.jpg,A car is driving down a highway with a mountain in the background.
00000340_img_front_2.jpg,A red car is driving down a snowy street. There are other cars and a fire hydrant on the street.
00000220_img_front.jpg,A person riding a motorcycle in a city street.
00000060_img_front.jpg,"A car is driving down a street with other cars and trucks. There are two trucks, one on the left and one on the right side of the street. Additionally, there are three cars, one in the middle of the street"
00000340_img_front.jpg,A car is driving down a wet street at night.
00000380_img_front.jpg,"A car is driving down a rain-soaked street in a city. The street is lined with buildings and has a crosswalk. There are multiple traffic lights along the street, and a bus is visible in the distance."
00000060_img_front_2.jpg,A car is driving down a dark street with a bridge overhead. The street is empty and the car is the only visible object.
00000070_img_front.jpg,A car is driving down a wet road with trees on the side.
00000480_img_front.jpg,A red fire truck is parked on the side of the road.
00000360_img_front.jpg,A car is driving down a foggy road with other cars and a motorcycle.
00000410_img_front.jpg,"A car is driving down a street at night. There are two other cars on the road, and a motorcycle is parked on the side. A traffic light is visible in the distance."
00000500_img_front.jpg,"A car is driving down a highway with other cars in front of it. The sun is setting, creating a beautiful backdrop."
00000430_img_front.jpg,"A woman is standing on the sidewalk, waiting to cross the street."
00000100_img_front.jpg,A red and yellow fire truck is driving down a street.
00000160_img_front.jpg,A car is driving down a dark road with trees on both sides. The road is empty and the car is the only visible object.
00000170_img_front.jpg,A car is driving down a road surrounded by trees. The road is empty and the car is the only visible object.
00000260_img_front.jpg,"A car is driving down a street at night. The street is empty, and there are no other cars or pedestrians visible. The car is approaching a red traffic light."
00000320_img_front.jpg,"A car is driving down a dark road with a few other cars. The road is surrounded by trees, and there is a street light in the distance."
00000020_img_front.png,A person is walking on a sidewalk in a foggy area.
